Tub,Building,Unknown,kBtu.00,MTCDE.00,kBtu.01,MTCDE.01,kBtu.02,MTCDE.02,kBtu.03,MTCDE.03,kBtu.04,MTCDE.04,kBtu.05,MTCDE.05,kBtu.06,MTCDE.06,kBtu.07,MTCDE.07,kBtu.08,MTCDE.08,kBtu.09,MTCDE.09,kBtu.10,MTCDE.10,kBtu.11,MTCDE.11,kBtu.12,MTCDE.12,kBtu.13,MTCDE.13,kBtu.14,MTCDE.14,kBtu.15,MTCDE.15,kBtu.16,MTCDE.16,kBtu.17,MTCDE.17,kBtu.18,MTCDE.18,kBtu.19,MTCDE.19,kBtu.20,MTCDE.20,kBtu.21,MTCDE.21
310,Farkas Hall (formerly known as New College theater & Hasty Pudding) (06017; B-019),38724,,,,,385042,30.5,1489600,116.0,898709,73.7,1015078,79.1,195302,22.3,930820,100.0,5745988,530.9,5536694,494.8,4897642,440.3,4099169,379.1,4111395,378.2,3394283,317.3,3711415,324.4,3677900,326.1,2994294,275.4,3012713,275.0,3203369,290.2,3134001,283.4,2756926,249.6,1427571,129.5
310,"Jordan North, Pforzheimer House (03247; B-500F)",7602,,,,,,,496300,26.4,396800,21.1,461200,24.5,241800,12.9,232500,12.4,262300,14.0,277500,14.8,273200,14.5,348500,18.5,194600,10.4,146300,7.8,150000,8.0,196000,10.4,167100,8.9,170900,9.1,190900,10.2,203700,10.8,197200,10.5,133400,7.1
310,"Jordan South, Pforzheimer House (03304; B-520D)",19804,,,,,,,161046,18.4,737811,84.3,750367,85.8,703691,80.4,669298,76.5,644459,73.7,635997,72.7,625351,71.5,676668,77.3,637089,72.8,611430,69.9,602423,68.9,581337,66.4,584240,66.8,583032,66.6,571394,65.3,502096,57.4,446058,51.0,261830,29.9
310,219 Western Avenue (06039; B-844),94340,,,,,,,,,,,160780,18.4,337426,38.6,343244,39.2,361338,41.3,362614,41.4,368892,42.2,341084,39.0,361791,41.4,389511,44.5,84396,9.6,,,,,,,,,,,,,,
310,Advocate Building 21 South St (06030; B-839),2187,,,,,,,,,,,,,,,,,,,147549,10.8,92240,6.7,113271,8.3,71807,5.2,75296,5.5,89182,6.5,124141,9.1,114244,8.4,111117,8.1,142864,10.4,126407,9.2,168162,12.3,,
310,Widener Library (04935; B-585),234046,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
310,"Stone Hall, Mather Hall, Quincy House (03311; B-969A)",58741,,,,,,,,,,,,,,,,,,,,,,,,,,,3565802,297.3,2018111,222.2,5602373,474.4,4683914,406.3,5041453,431.7,4978914,425.5,4698783,406.4,4393316,382.2,2723203,236.2
310,1201 Mass Ave (prev The Inn At Harvard) (06068; B-189),96592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5335643,449.7,11447144,736.2,7870009,496.8,8804471,592.2,9767592,642.8,9458013,641.4,7446183,483.3,4152749,270.4
310,8 Prescott Street (04115; B-958),6841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514809,41.9,564456,38.0,541499,37.0,502107,35.0,548326,36.5,566124,35.9,451974,30.1,249670,19.0
310,101-103 Plympton Street (06168; B-410),1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67292,4.0,-3183,-0.4,,,,,,,,
310,Lowell Kitchen (00891; B-904),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16619,1.8,51821,4.8,,
325,Cruft Laboratory (03760; B-316),20360,2098010,154.4,2148642,166.4,8312980,505.4,9075012,606.7,7772125,497.7,10168804,784.2,11009948,904.7,10695786,847.1,11030141,882.0,11322416,872.3,11095769,825.6,10596114,806.5,10683964,820.8,10749899,826.3,10904216,841.6,10609678,814.8,10555014,811.8,10515226,816.7,11732929,905.0,11725118,923.2,11015600,859.1,7700723,592.7
325,Engineering Science Laboratory (03761; B-438),38806,4510525,333.5,4547765,346.9,6466344,472.0,6136000,449.5,6088511,429.5,10288020,777.2,17882203,1248.5,18100468,1312.5,21791338,1650.3,19524111,1487.0,20155907,1562.6,17918185,1406.8,17493775,1310.9,19680009,1501.7,18242538,1404.1,16831983,1322.0,15619657,1226.1,17066268,1339.5,19085342,1495.2,18641890,1482.7,17210637,1297.4,13636399,953.8
325,Maxwell-Dworkin (03762; B-111),97535,9117807,609.7,11301390,783.5,11548810,778.9,12342284,866.0,13835048,977.2,13134942,938.6,12275556,860.5,10738378,719.7,11380097,823.3,10639936,764.1,12182769,845.0,13346466,916.3,11664792,810.4,12845381,878.9,12627948,871.4,11966419,820.8,11389724,772.1,11623303,776.9,13232800,889.1,12972219,867.6,11692352,785.5,7838520,521.5
325,"McKay Laboratory, Gordon (03763; B-436)",82691,14836403,999.0,16668527,1195.2,16838008,1182.7,17922234,1251.2,18777081,1326.5,21107732,1537.0,21855935,1578.3,22332561,1583.1,19353727,1412.0,20365594,1432.0,20225432,1533.8,22228246,1692.4,23183334,1721.5,23347752,1760.2,23162874,1764.7,23610592,1778.1,21716334,1646.7,21899143,1659.0,22339570,1702.3,22235454,1669.7,21366704,1597.6,15018867,1080.9
325,Pierce Hall (03764; B-435),98926,8091770,587.1,7864038,585.7,7807605,574.3,8499540,632.3,9277072,676.9,8209292,624.7,8052101,649.7,8858320,691.4,9312701,753.4,8931886,708.2,8957380,699.7,10794646,777.5,9139670,677.7,9419725,693.9,8949738,654.3,9767626,714.5,8999713,651.2,8929899,649.5,9521409,684.5,9170496,649.4,8837809,621.8,6429780,432.5
340,Berens Tennis Pavillion (03920; B-03920),4350,330172,37.7,956452,109.3,1226355,140.2,1628589,186.2,1459572,166.8,1094024,125.0,799227,91.4,757300,86.6,862117,98.5,980036,112.0,887011,101.4,974795,111.4,1028750,117.6,1117478,127.7,1061407,121.3,1143741,130.7,1262467,144.3,1073747,122.7,1258906,143.9,1295831,148.1,1002193,114.6,335124,38.3
